order_no,company_customer_cd,company_item_cd,amount,order_date,status_order
93,,15563,5250,2012/01/18,1
93,,14686,5250,2012/01/18,1
94,69,15759,1960,2012/01/18,5
94,69,11882,1960,2012/01/18,5
95,74,4297,1180,2012/01/19,5
96,76,3086,1295,2012/01/19,3
97,78,14948,2495,2012/01/19,5
98,,16182,3460,2012/01/20,5
98,,16184,3460,2012/01/20,5
99,84,16159,5650,2012/01/20,5
99,84,14828,5650,2012/01/20,5
99,84,14830,5650,2012/01/20,5
100,86,15331,1695,2012/01/20,5
101,88,15621,995,2012/01/20,5
102,,12791,5900,2012/01/20,5
103,90,3110,1295,2012/01/20,1
104,,10849,5305,2012/01/20,5
105,94,8582,5760,2012/01/21,5
105,94,12461,5760,2012/01/21,5
106,96,1261,1780,2012/01/21,5
107,85,14930,3975,2012/01/21,5
107,85,14929,3975,2012/01/21,5
108,98,13380,2580,2012/01/21,5
108,98,13779,2580,2012/01/21,5
109,,12762,6530,2012/01/21,5
109,,16401,6530,2012/01/21,5
109,,1906,6530,2012/01/21,5
109,,10399,6530,2012/01/21,5
110,82,12730,3670,2012/01/21,5
110,82,14230,3670,2012/01/21,5
111,101,16380,1005,2012/01/21,5
112,107,13411,6750,2012/01/22,5
112,107,13409,6750,2012/01/22,5
112,107,10397,6750,2012/01/22,5
113,,11360,11020,2012/01/22,5
113,,12029,11020,2012/01/22,5
113,,16348,11020,2012/01/22,5
113,,13412,11020,2012/01/22,5
113,,16344,11020,2012/01/22,5
113,,13379,11020,2012/01/22,5
113,,12806,11020,2012/01/22,5
113,,12758,11020,2012/01/22,5
113,,12788,11020,2012/01/22,5
113,,16387,11020,2012/01/22,5
114,116,12760,1000,2012/01/22,5
115,,13984,1560,2012/01/22,5
115,,12811,1560,2012/01/22,5
116,122,12762,1195,2012/01/22,5
117,123,16073,2295,2012/01/22,5
118,125,15009,1180,2012/01/22,5
119,130,9631,3005,2012/01/22,5
120,132,14941,4475,2012/01/22,5
120,132,13776,4475,2012/01/22,5
121,136,14947,2280,2012/01/23,5
122,118,16394,1295,2012/01/23,5
123,118,12758,1195,2012/01/23,5
124,143,14921,2300,2012/01/23,5
125,144,15068,1480,2012/01/23,5
126,146,2935,1595,2012/01/23,5
127,107,13407,2080,2012/01/23,1
128,150,13294,1975,2012/01/23,5
128,150,13295,1975,2012/01/23,5
129,152,15806,2495,2012/01/23,5
130,153,15177,2295,2012/01/23,5
131,,13436,20540,2012/01/24,5
132,,13678,10140,2012/01/24,5
132,,14269,10140,2012/01/24,5
132,,8499,10140,2012/01/24,5
132,,15464,10140,2012/01/24,5
132,,11183,10140,2012/01/24,5
132,,13670,10140,2012/01/24,5
132,,16196,10140,2012/01/24,5
133,135,13340,695,2012/01/24,5
134,159,14462,1780,2012/01/24,5
135,160,9941,4320,2012/01/24,5
135,160,11364,4320,2012/01/24,5
135,160,14740,4320,2012/01/24,5
135,160,14262,4320,2012/01/24,5
136,,13670,1695,2012/01/24,5
137,,14137,3305,2012/01/24,5
138,165,12811,4060,2012/01/24,5
138,165,8582,4060,2012/01/24,5
139,166,15711,1395,2012/01/25,5
140,,3090,1080,2012/01/25,5
141,171,3094,995,2012/01/25,5
142,170,14922,2795,2012/01/25,5
143,170,14312,2795,2012/01/25,5
144,172,16019,1695,2012/01/25,5
145,173,8486,1895,2012/01/25,5
146,174,15366,1995,2012/01/25,5
147,173,14012,1695,2012/01/25,5
148,117,15409,1395,2012/01/25,5
149,175,3100,1975,2012/01/25,5
150,,14929,2960,2012/01/25,5
150,,14740,2960,2012/01/25,5
151,181,3100,2060,2012/01/25,5
151,181,3117,2060,2012/01/25,5
152,187,14022,1180,2012/01/26,5
153,,16107,1595,2012/01/26,5
154,190,16580,3305,2012/01/26,5
155,194,14766,5050,2012/01/26,5
155,194,12722,5050,2012/01/26,5
155,194,3092,5050,2012/01/26,5
156,2,16695,2295,2012/01/26,5
157,2,16688,3305,2012/01/26,5
158,2,16447,1595,2012/01/26,5
159,192,13309,3655,2012/01/26,5
159,192,15501,3655,2012/01/26,5
159,192,15320,3655,2012/01/26,5
160,201,16629,1195,2012/01/26,5
161,203,14945,2280,2012/01/26,5
162,204,12947,1395,2012/01/26,5
163,,15461,600,2012/01/26,5
164,128,8581,3495,2012/01/27,5
165,215,16645,780,2012/01/27,5
166,216,15914,995,2012/01/27,5
167,2,16776,1595,2012/01/27,5
168,,14818,1295,2012/01/27,5
169,,16630,4340,2012/01/27,5
169,,14945,4340,2012/01/27,5
169,,12759,4340,2012/01/27,5
170,224,15627,15430,2012/01/27,5
170,224,16482,15430,2012/01/27,5
170,224,16942,15430,2012/01/27,5
170,224,16631,15430,2012/01/27,5
170,224,16152,15430,2012/01/27,5
170,224,14813,15430,2012/01/27,5
170,224,10425,15430,2012/01/27,5
170,224,13407,15430,2012/01/27,5
170,224,11707,15430,2012/01/27,5
171,201,16937,4875,2012/01/27,5
171,201,13227,4875,2012/01/27,5
172,230,11882,595,2012/01/28,5
173,231,3086,995,2012/01/28,5
174,238,14655,1995,2012/01/28,5
175,200,13581,3460,2012/01/28,5
175,200,13379,3460,2012/01/28,5
175,200,13580,3460,2012/01/28,5
176,243,15866,2495,2012/01/28,5
177,244,12739,2395,2012/01/28,5
178,245,16438,1480,2012/01/28,5
179,247,16521,7150,2012/01/28,5
179,247,15458,7150,2012/01/28,5
179,247,13657,7150,2012/01/28,5
179,247,12301,7150,2012/01/28,5
180,248,12467,4640,2012/01/28,5
180,248,13573,4640,2012/01/28,5
180,248,12151,4640,2012/01/28,5
181,250,16630,895,2012/01/28,5
182,251,14472,1695,2012/01/28,5
183,253,16468,4620,2012/01/29,5
183,253,16630,4620,2012/01/29,5
183,253,16814,4620,2012/01/29,5
183,253,16785,4620,2012/01/29,5
184,254,14819,1295,2012/01/29,5
185,254,16817,3305,2012/01/29,5
186,261,15167,2295,2012/01/29,5
187,262,16623,1560,2012/01/29,5
187,262,16634,1560,2012/01/29,5
188,264,16659,2790,2012/01/29,5
189,263,13232,995,2012/01/29,5
190,263,13229,1295,2012/01/29,5
191,,13266,1380,2012/01/29,5
192,270,16944,2495,2012/01/29,5
193,,13341,780,2012/01/29,5
194,275,8827,2795,2012/01/29,5
195,276,13611,1395,2012/01/29,5
196,276,12818,895,2012/01/29,5
197,280,13379,1180,2012/01/30,5
197,280,11944,1180,2012/01/30,5
198,282,14738,4970,2012/01/30,5
198,282,14086,4970,2012/01/30,5
199,283,15364,1995,2012/01/30,5
200,290,13227,2680,2012/01/30,1
201,265,3115,1760,2012/01/30,5
201,265,3107,1760,2012/01/30,5
202,293,16482,3155,2012/01/30,5
202,293,12772,3155,2012/01/30,5
202,293,16629,3155,2012/01/30,5
203,286,14332,4005,2012/01/30,5
204,,16944,4860,2012/01/30,5
204,,11513,4860,2012/01/30,5
205,99,12772,780,2012/01/30,5
206,298,16634,895,2012/01/30,5
207,302,3081,995,2012/01/30,5
208,299,16355,1995,2012/01/30,5
209,249,12762,680,2012/01/30,5
210,306,16027,1995,2012/01/30,5
211,307,11008,800,2012/01/31,5
211,307,11010,800,2012/01/31,5
212,310,16942,2495,2012/01/31,5
213,309,17101,3075,2012/01/31,5
213,309,11188,3075,2012/01/31,5
213,309,15457,3075,2012/01/31,5
214,87,16836,3305,2012/01/31,5
215,316,13266,1660,2012/01/31,5
215,316,9183,1660,2012/01/31,5
216,317,17243,4090,2012/01/31,5
217,,17167,6040,2012/01/31,5
217,,16942,6040,2012/01/31,5
217,,16151,6040,2012/01/31,5
218,,17155,7660,2012/01/31,5
218,,16691,7660,2012/01/31,5
219,318,17052,1295,2012/01/31,5
220,315,14412,3480,2012/01/31,5
221,,16626,1860,2012/01/31,5
221,,16627,1860,2012/01/31,5
222,,14592,7080,2012/01/31,5
222,,14848,7080,2012/01/31,5
223,295,16625,680,2012/01/31,5
224,195,14310,3095,2012/01/31,5
225,195,14497,2295,2012/01/31,5
226,321,17433,580,2012/01/31,5
227,299,16947,2295,2012/01/31,5
228,326,16628,1560,2012/01/31,5
228,326,16629,1560,2012/01/31,5
229,118,16475,1595,2012/01/31,5
230,326,12806,1460,2012/01/31,5
230,326,12788,1460,2012/01/31,5
231,329,11040,3875,2012/01/31,5
231,329,14922,3875,2012/01/31,5
232,332,16082,3915,2012/02/01,5
233,,12801,4555,2012/02/01,5
233,,12788,4555,2012/02/01,5
233,,16600,4555,2012/02/01,5
234,,16943,7820,2012/02/01,5
234,,16591,7820,2012/02/01,5
234,,14937,7820,2012/02/01,5
234,,14462,7820,2012/02/01,5
235,,15861,2680,2012/02/01,5
236,337,11101,2075,2012/02/01,5
236,337,16503,2075,2012/02/01,5
237,343,17389,895,2012/02/01,5
238,144,17015,780,2012/02/01,5
239,345,11127,1675,2012/02/01,5
239,345,11131,1675,2012/02/01,5
240,349,17243,4005,2012/02/01,5
241,352,12806,12120,2012/02/02,5
241,352,16524,12120,2012/02/02,5
241,352,15860,12120,2012/02/02,5
241,352,16358,12120,2012/02/02,5
241,352,9847,12120,2012/02/02,5
242,353,17957,1695,2012/02/02,5
243,353,16506,1595,2012/02/02,5
244,355,15473,1275,2012/02/02,5
244,355,15500,1275,2012/02/02,5
245,310,12772,1295,2012/02/02,5
246,356,16460,1180,2012/02/02,5
247,,16154,6170,2012/02/02,5
247,,14464,6170,2012/02/02,5
248,364,18327,2295,2012/02/02,5
249,365,16641,2075,2012/02/02,5
249,365,16638,2075,2012/02/02,5
250,339,10958,1695,2012/02/02,5
251,372,18417,2495,2012/02/02,5
252,371,16633,780,2012/02/02,5
253,,12772,5550,2012/02/02,5
253,,12726,5550,2012/02/02,5
253,,17494,5550,2012/02/02,5
254,375,14935,2560,2012/02/02,5
254,375,15500,2560,2012/02/02,5
255,376,12801,3575,2012/02/02,5
255,376,10865,3575,2012/02/02,5
256,347,17380,1875,2012/02/02,5
256,347,17389,1875,2012/02/02,5
257,373,18165,1595,2012/02/03,5
258,380,16773,3455,2012/02/03,5
258,380,12766,3455,2012/02/03,5
258,380,16508,3455,2012/02/03,5
259,384,2932,1295,2012/02/03,5
260,46,12818,1575,2012/02/03,5
260,46,15500,1575,2012/02/03,5
261,391,18417,2495,2012/02/03,5
262,391,17244,4305,2012/02/03,5
263,391,14413,3995,2012/02/03,5
264,335,12801,2295,2012/02/03,5
265,371,16119,1480,2012/02/03,5
266,393,17429,1575,2012/02/03,5
267,397,17921,3340,2012/02/03,5
267,397,18224,3340,2012/02/03,5
267,397,13418,3340,2012/02/03,5
267,397,12823,3340,2012/02/03,5
268,,12726,3190,2012/02/03,5
269,402,18423,1995,2012/02/03,5
270,403,18437,1880,2012/02/03,5
271,402,18512,2495,2012/02/03,5
272,404,14946,2495,2012/02/03,5
273,406,14455,4955,2012/02/03,5
273,406,18351,4955,2012/02/03,5
273,406,18509,4955,2012/02/03,5
274,,17730,6120,2012/02/04,3
274,,16030,6120,2012/02/04,3
274,,18423,6120,2012/02/04,3
274,,17728,6120,2012/02/04,3
275,409,17449,3075,2012/02/04,5
275,409,18310,3075,2012/02/04,5
276,410,18417,2495,2012/02/04,5
277,411,16482,2575,2012/02/04,5
277,411,16487,2575,2012/02/04,5
278,414,16629,1195,2012/02/04,5
279,,18075,3190,2012/02/04,5
280,414,14001,1695,2012/02/04,5
281,414,18040,2295,2012/02/04,5
282,416,16496,1295,2012/02/04,5
283,,18437,5120,2012/02/04,5
283,,12759,5120,2012/02/04,5
283,,14009,5120,2012/02/04,5
283,,16630,5120,2012/02/04,5
284,419,12766,780,2012/02/04,5
285,420,12726,5370,2012/02/04,5
285,420,13670,5370,2012/02/04,5
285,420,13379,5370,2012/02/04,5
285,420,17657,5370,2012/02/04,5
286,,12726,3190,2012/02/04,5
287,428,18434,3340,2012/02/05,5
287,428,17429,3340,2012/02/05,5
287,428,18127,3340,2012/02/05,5
288,266,17389,980,2012/02/05,5
289,431,18497,1880,2012/02/05,5
290,400,17976,1295,2012/02/05,5
291,400,17975,1295,2012/02/05,5
292,371,16641,1960,2012/02/05,5
292,371,16638,1960,2012/02/05,5
293,436,12762,2440,2012/02/05,5
293,436,16633,2440,2012/02/05,5
293,436,17391,2440,2012/02/05,5
294,439,17430,680,2012/02/05,5
295,441,16454,1180,2012/02/05,5
296,442,18510,2495,2012/02/05,5
297,442,18475,3305,2012/02/05,5
298,450,16033,2380,2012/02/06,5
299,286,18791,2795,2012/02/06,5
300,455,17237,2775,2012/02/06,5
301,456,18799,2495,2012/02/06,5
302,457,18616,5700,2012/02/06,5
302,457,12818,5700,2012/02/06,5
302,457,16921,5700,2012/02/06,5
302,457,17926,5700,2012/02/06,5
302,457,13229,5700,2012/02/06,5
303,458,18791,2795,2012/02/06,5
304,,16692,3305,2012/02/06,5
305,460,17778,1280,2012/02/07,5
306,463,16633,895,2012/02/07,5
307,464,18807,2495,2012/02/07,5
308,,12762,5320,2012/02/07,5
308,,18736,5320,2012/02/07,5
308,,18729,5320,2012/02/07,5
308,,18815,5320,2012/02/07,5
309,471,14919,2495,2012/02/07,5
310,195,18799,2495,2012/02/07,5
311,472,17369,6000,2012/02/07,5
311,472,9705,6000,2012/02/07,5
311,472,9706,6000,2012/02/07,5
311,472,12288,6000,2012/02/07,5
311,472,17773,6000,2012/02/07,5
312,474,18560,695,2012/02/07,5
313,475,18927,3305,2012/02/07,5
314,476,18927,3005,2012/02/07,5
315,477,18631,5170,2012/02/07,5
315,477,18927,5170,2012/02/07,5
316,478,14474,8180,2012/02/07,5
316,478,18928,8180,2012/02/07,5
317,479,14414,3995,2012/02/07,5
318,482,18541,1695,2012/02/08,5
319,,16820,10120,2012/02/08,5
319,,18928,10120,2012/02/08,5
319,,16818,10120,2012/02/08,5
319,,15881,10120,2012/02/08,5
319,,18729,10120,2012/02/08,5
320,486,17266,3775,2012/02/08,5
320,486,16197,3775,2012/02/08,5
321,487,16694,3305,2012/02/08,5
322,488,18807,2380,2012/02/08,5
323,,16935,2295,2012/02/08,5
324,474,12788,895,2012/02/08,5
325,491,18927,3005,2012/02/08,5
326,,18707,1295,2012/02/08,5
327,493,13682,4820,2012/02/08,5
327,493,15615,4820,2012/02/08,5
327,493,9806,4820,2012/02/08,5
327,493,17967,4820,2012/02/08,5
328,494,18807,2495,2012/02/08,5
329,,18701,1295,2012/02/08,5
330,344,18800,2380,2012/02/08,5
331,497,17270,2795,2012/02/08,5
332,497,16931,2295,2012/02/08,5
333,497,15866,2795,2012/02/08,5
334,498,12788,595,2012/02/08,5
335,500,12817,3435,2012/02/08,5
335,500,18682,3435,2012/02/08,5
335,500,12788,3435,2012/02/08,5
335,500,13601,3435,2012/02/08,5
336,499,18680,1180,2012/02/08,5
337,498,8049,1995,2012/02/08,5
338,504,18799,2795,2012/02/08,5
339,505,18799,2495,2012/02/08,5
340,422,13345,2260,2012/02/08,5
340,422,18623,2260,2012/02/08,5
341,508,19048,5305,2012/02/08,5
342,509,17932,2375,2012/02/08,5
342,509,18769,2375,2012/02/08,5
343,510,18928,2890,2012/02/08,5
344,511,18799,2495,2012/02/08,5
345,50,17022,3720,2012/02/09,5
345,50,18606,3720,2012/02/09,5
345,50,18560,3720,2012/02/09,5
345,50,17525,3720,2012/02/09,5
345,50,15586,3720,2012/02/09,5
345,50,18550,3720,2012/02/09,5
346,114,18791,2495,2012/02/09,5
347,464,18739,1295,2012/02/09,5
348,513,18519,2495,2012/02/09,5
349,516,18791,2495,2012/02/09,5
350,515,9807,4750,2012/02/09,5
350,515,16966,4750,2012/02/09,5
350,515,17264,4750,2012/02/09,5
351,517,18799,2495,2012/02/09,5
352,520,10386,3005,2012/02/09,3
353,,18815,2795,2012/02/09,5
354,527,18379,2295,2012/02/09,5
355,528,16630,895,2012/02/09,5
356,530,18701,880,2012/02/09,5
357,531,19054,2380,2012/02/09,5
358,518,18475,3305,2012/02/09,5
359,535,19076,3890,2012/02/09,5
360,536,18798,2495,2012/02/09,5
361,538,17389,1095,2012/02/09,5
362,537,18735,880,2012/02/09,5
363,,14464,2295,2012/02/10,5
364,,18707,1295,2012/02/10,5
365,545,14931,3955,2012/02/10,5
365,545,17967,3955,2012/02/10,5
365,545,17971,3955,2012/02/10,5
366,540,19063,2495,2012/02/10,5
367,548,18792,2495,2012/02/10,5
368,553,16630,895,2012/02/11,5
369,,12726,3305,2012/02/11,5
370,555,18800,2495,2012/02/11,5
371,554,17577,995,2012/02/11,5
372,558,17400,1760,2012/02/11,5
372,558,17422,1760,2012/02/11,5
373,474,18563,995,2012/02/11,5
374,,15022,1580,2012/02/11,5
375,565,18680,1295,2012/02/11,5
376,494,18792,2795,2012/02/11,5
377,569,17380,5600,2012/02/11,5
377,569,17389,5600,2012/02/11,5
377,569,17390,5600,2012/02/11,5
377,569,17841,5600,2012/02/11,5
377,569,16705,5600,2012/02/11,5
378,570,13229,995,2012/02/11,5
379,572,18114,4200,2012/02/12,5
379,572,11032,4200,2012/02/12,5
379,572,11090,4200,2012/02/12,5
379,572,11096,4200,2012/02/12,5
380,576,18799,2795,2012/02/12,5
381,582,18708,995,2012/02/12,5
382,584,18635,2495,2012/02/12,5
383,583,18379,2295,2012/02/12,5
384,526,18550,515,2012/02/12,5
385,586,19058,2495,2012/02/12,5
386,474,18560,995,2012/02/12,5
387,,16630,1080,2012/02/12,5
388,590,16771,5340,2012/02/12,5
388,590,18163,5340,2012/02/12,5
388,590,18799,5340,2012/02/12,5
389,589,19137,1580,2012/02/12,5
390,562,17932,1695,2012/02/12,5
391,562,17521,1395,2012/02/12,5
392,562,13574,4335,2012/02/12,5
392,562,19150,4335,2012/02/12,5
392,562,15503,4335,2012/02/12,5
392,562,17525,4335,2012/02/12,5
392,562,12831,4335,2012/02/12,5
393,244,16626,1975,2012/02/12,5
393,244,16627,1975,2012/02/12,5
394,598,19208,3005,2012/02/13,5
395,599,18808,2380,2012/02/13,5
396,,19316,2180,2012/02/13,5
397,603,19316,1995,2012/02/13,5
398,298,18771,1295,2012/02/13,5
399,4,19240,2795,2012/02/13,5
400,604,14669,1995,2012/02/13,5
401,605,17467,1880,2012/02/13,5
402,607,19268,2295,2012/02/13,5
403,608,18815,4975,2012/02/13,5
403,608,18816,4975,2012/02/13,5
404,,18918,5190,2012/02/13,5
405,578,18345,1295,2012/02/13,5
406,578,19310,2795,2012/02/13,5
407,578,17972,1295,2012/02/13,5
408,614,19115,1980,2012/02/14,5
409,618,18799,2495,2012/02/14,5
410,619,18680,2860,2012/02/14,5
410,619,16014,2860,2012/02/14,5
411,610,18736,1295,2012/02/14,5
412,610,18808,2680,2012/02/14,5
413,,18897,2180,2012/02/14,5
414,610,18497,2295,2012/02/14,5
415,620,19209,2890,2012/02/14,5
416,622,14014,1395,2012/02/14,5
417,625,18791,2495,2012/02/14,5
418,616,19741,1995,2012/02/14,5
419,,18714,1680,2012/02/14,5
419,,11030,1680,2012/02/14,5
420,628,19293,4305,2012/02/14,5
421,628,19040,1395,2012/02/14,5
422,596,18736,880,2012/02/15,5
423,114,19627,4305,2012/02/15,5
424,632,18340,695,2012/02/15,5
425,638,19733,2890,2012/02/15,5
426,639,19627,4005,2012/02/15,5
427,644,18800,2495,2012/02/15,5
428,646,18791,2495,2012/02/15,5
429,647,19040,1280,2012/02/15,5
430,648,18799,2495,2012/02/15,5
431,631,19736,7650,2012/02/15,5
431,631,19741,7650,2012/02/15,5
431,631,19733,7650,2012/02/15,5
432,650,16633,895,2012/02/15,5
433,651,13862,2295,2012/02/15,5
434,654,19829,4005,2012/02/15,5
435,654,19733,3305,2012/02/15,5
436,657,18856,3005,2012/02/15,5
437,659,19588,5275,2012/02/15,5
437,659,19806,5275,2012/02/15,5
438,661,16707,1995,2012/02/16,5
439,662,19600,3295,2012/02/16,5
440,663,19733,3005,2012/02/16,3
441,664,19793,2495,2012/02/16,5
442,666,19800,2680,2012/02/16,5
443,517,10364,1695,2012/02/16,5
444,517,18574,2295,2012/02/16,5
445,667,15022,1395,2012/02/16,5
446,,19809,4190,2012/02/16,5
447,668,19789,1880,2012/02/16,5
448,468,19809,4005,2012/02/16,5
449,,18729,2160,2012/02/16,5
449,,18736,2160,2012/02/16,5
450,,18201,2595,2012/02/16,5
451,630,19749,1995,2012/02/16,5
452,132,19809,5270,2012/02/16,5
452,132,17535,5270,2012/02/16,5
453,677,17968,4985,2012/02/16,5
453,677,19808,4985,2012/02/16,5
454,195,19486,10774,2012/02/16,5
454,195,19736,10774,2012/02/16,5
454,195,19837,10774,2012/02/16,5
454,195,18909,10774,2012/02/16,5
454,195,19909,10774,2012/02/16,5
455,511,18684,1295,2012/02/16,5
456,673,19616,5540,2012/02/16,5
456,673,19803,5540,2012/02/16,5
456,673,16630,5540,2012/02/16,5
457,511,19597,3595,2012/02/16,5
458,,15884,16430,2012/02/16,5
458,,18791,16430,2012/02/16,5
458,,15882,16430,2012/02/16,5
458,,19909,16430,2012/02/16,5
458,,14311,16430,2012/02/16,5
458,,16644,16430,2012/02/16,5
458,,19082,16430,2012/02/16,5
458,,15883,16430,2012/02/16,5
458,,16627,16430,2012/02/16,5
459,684,18540,1580,2012/02/17,5
460,683,19057,4860,2012/02/17,5
460,683,19067,4860,2012/02/17,5
461,685,18701,1860,2012/02/17,5
461,685,18717,1860,2012/02/17,5
462,687,19806,2680,2012/02/17,5
463,690,19707,5440,2012/02/17,5
463,690,14459,5440,2012/02/17,5
463,690,17270,5440,2012/02/17,5
464,691,18800,2495,2012/02/17,5
465,692,17968,995,2012/02/17,5
466,,18657,1295,2012/02/17,5
467,695,19918,2495,2012/02/17,1
468,630,20029,2795,2012/02/17,5
469,699,19082,2795,2012/02/17,5
470,,19040,6340,2012/02/17,5
470,,14752,6340,2012/02/17,5
470,,17271,6340,2012/02/17,5
471,702,18535,2560,2012/02/17,5
471,702,17275,2560,2012/02/17,5
472,704,18707,1180,2012/02/17,5
473,704,18710,880,2012/02/17,5
474,706,18437,3975,2012/02/17,5
475,707,19801,2795,2012/02/17,5
476,708,15866,2495,2012/02/17,5
477,709,16625,895,2012/02/17,5
478,639,19937,4305,2012/02/18,5
479,,19063,5160,2012/02/18,5
479,,19062,5160,2012/02/18,5
480,,17262,9920,2012/02/18,5
480,,17263,9920,2012/02/18,5
480,,17265,9920,2012/02/18,5
480,,17268,9920,2012/02/18,5
481,713,18701,1295,2012/02/18,5
482,712,13611,1395,2012/02/18,5
483,718,19937,4005,2012/02/18,5
484,719,19627,9160,2012/02/18,5
484,719,19632,9160,2012/02/18,5
484,719,20045,9160,2012/02/18,5
485,639,19597,3595,2012/02/18,5
486,720,14463,1995,2012/02/18,5
487,721,18435,1995,2012/02/18,5
488,722,18548,1695,2012/02/18,5
489,724,19322,1880,2012/02/18,5
490,686,19920,4305,2012/02/18,5
491,686,20024,3305,2012/02/18,5
492,725,19057,2380,2012/02/18,5
493,,19750,2180,2012/02/18,5
494,733,18550,400,2012/02/19,5
